<3	<3 🫶
AB	AB 🆎
ABCD	ABCD 🔠
AB按钮	AB按钮 🆎
ATM	ATM 🏧
ATM标志	ATM标志 🏧
B	B 🅱
BAE	BAE 💑 👨‍❤️‍👨 👩‍❤️‍👩
B按钮	B按钮 🅱
C	C ©
CD	CD 💿 📀
CL	CL 🆑
CL按钮	CL按钮 🆑
DNA	DNA 🧬
DVD	DVD 💿 📀
ID	ID 🆔
ID按钮	ID按钮 🆔
M	M ⓜ
Mx	Mx 🧑‍🎄
O	O 🅾
OF按钮	OF按钮 🆖
OK	OK 🙆 🙆‍♂️ 🙆‍♀️
O型血	O型血 🅾
P	P 🅿
PGA	PGA 🏌️‍♂️
P按钮	P按钮 🅿
R	R ®
SOS	SOS 🆘
T	T 🦖
TM	TM ™
T恤	T恤 👕
UFO	UFO 🛸
VHS	VHS 📼
VS	VS 🆚
VS按钮	VS按钮 🆚
WC	WC 🚹 🚺 🚾
X射线	X射线 🩻
abc	abc 🔤
abcd	abcd 🔡
af	af 🔥
ba	ba 8️⃣
bae	bae 😍 😚 😒 🧑‍🤝‍🧑 👭 👫 👬 💏 👩‍❤️‍💋‍👨 👨‍❤️‍💋‍👨 👩‍❤️‍💋‍👩 👩‍❤️‍👨
bangbang	bangbang ‼
brb	brb 🔜
brr	brr 🧥
bs	bs 💩
c	c 🍊
diya	diya 🪔
doo	doo 💩
er	er 2️⃣
fml	fml 💩
glbt	glbt 🌈 🏳️‍🌈
glbtq	glbtq 🌈 🏳️‍🌈
hocho	hocho 🔪
ily	ily 😍 😒 💝 🩵
jiu	jiu 9️⃣
lgbt	lgbt 🌈 🏳️‍🌈
lgbtq	lgbtq 🌈 🏳️‍🌈
lgbtqia	lgbtqia 🌈 🏳️‍🌈
ling	ling 0️⃣
litaf	litaf 🔥
liu	liu 6️⃣
mwah	mwah 💏 👩‍❤️‍💋‍👩
o	o ⭕
omw	omw 👣 🔜
pamonha	pamonha 🫔
pga	pga 🏌 🏌️‍♀️
qi	qi 7️⃣
roflcopter	roflcopter 🚁
san	san 3️⃣
shi	shi 🔟
si	si 4️⃣
smh	smh 💩
strat	strat 🎸
tbt	tbt 📻 📷 📹
tmi	tmi 🙉
ttyl	ttyl 👊
u	u 🧲
voip	voip 📞
wtv	wtv 🫥 😒 🫤
wu	wu 5️⃣
x射线	x射线 🩻
yi	yi 1️⃣
yolo	yolo 😜 😝 💀 ⏳ 🎆
zzz	zzz 😴 🥱 🛌
​​炖菜	​​炖菜 🍲
​​蒸	​​蒸 🍜
一	一 🐪 🦇 🕐 🔞
一个按钮	一个按钮 🅰
一只	一只 👁
一堆粪便	一堆粪便 💩
一对	一对 👯‍♂️
一杯牛奶	一杯牛奶 🥛
一次	一次 🔂
一滴血	一滴血 🩸
一点	一点 🤏 🕐 🕜
一点半	一点半 🕜
一脚蹬	一脚蹬 🥿
一起	一起 🤲 💏 👩‍❤️‍💋‍👨 👨‍❤️‍💋‍👨 👩‍❤️‍💋‍👩 💑 👩‍❤️‍👨 👨‍❤️‍👨 👩‍❤️‍👩
丁字裤	丁字裤 🩴
七	七 🕖 🕢
七夕	七夕 🎋
七夕树	七夕树 🎋
七点	七点 🕖
七点半	七点半 🕢
万圣节	万圣节 👻 🧛 🧛‍♂️ 🧛‍♀️ 🧟 🧟‍♂️ 🧟‍♀️ 🐈‍⬛ 🍫 🍬 🎃
万岁	万岁 🥳 🙌 🎉
三	三 👌 🤟 🕒 🕞
三十	三十 🕧 🕜 🕝 🕞 🕟 🕠 🕡 🕢 🕣 🕤 🕥 🕦
三叉戟	三叉戟 🧜 🧜‍♂️ 🧜‍♀️ 🔱
三叉戟徽章	三叉戟徽章 🔱
三叶草	三叶草 ☘ 🍀
三明治	三明治 🥪
三点	三点 🕒
三点半	三点半 🕞
三角尺	三角尺 📐
三角形	三角形 📐 ▶ ⏭ ⏯ ◀ ⏮ 🔺 🔻 🚩
三角旗	三角旗 🚩
三角裤	三角裤 🩲
上	上 ⤴
上一个	上一个 ⏮
上下	上下 ↕
上下箭头	上下箭头 ↕
上升	上升 🐦‍🔥 💹 📈
上弦月	上弦月 🌒 🌓 🌔
上弦月脸	上弦月脸 🌛
上方	上方 🌄
上衣	上衣 🎩
下	下 🐨
下一个	下一个 ⏭
下一曲目按钮	下一曲目按钮 ⏭
下巴	下巴 🤔
下弦月	下弦月 🌗
下弦月脸	下弦月脸 🌜
下降	下降 📉
不	不 😑 🤯 😕 😲 🥺 😥 😩 🙈 🙉 🙊 👎 🙅 🙅‍♂️ 🙅‍♀️ 🤦 🤦‍♂️ 🤦‍♀️ ⏳ 🔕 ⛔ 🚫 🚳 🚭 🚯 🚷 📵 🔞 🈶
不丹	不丹 🇧🇹
不信任	不信任 🤨 😒
不听恶言的猴子	不听恶言的猴子 🙉
不喜欢	不喜欢 👎
不均匀	不均匀 🥴
不安	不安 😟 😡 😠 💢 🙍 🙍‍♂️ 🙍‍♀️ 🙎 🙎‍♂️ 🧂
不幸	不幸 🐈‍⬛
不开心	不开心 😑 😒 😧
不快乐	不快乐 😢 😭 😞 😩 😤 😡 😠
不感动	不感动 😐 😑 😒
不明飞行物	不明飞行物 👽 👾
不是	不是 🤦 🤦‍♂️ 🤦‍♀️
不朽	不朽 🐦‍🔥
不满	不满 🙍 🙍‍♂️ 🙍‍♀️
不相信	不相信 🤨 😒
不看邪恶的猴子	不看邪恶的猴子 🙈
不真实	不真实 😮
不知道	不知道 😕 🤷 🤷‍♂️ 🤷‍♀️
不确定	不确定 🫤
不舒服	不舒服 🫦
不说恶语的猴子	不说恶语的猴子 🙊
不赞成	不赞成 🤨 😒
不高兴	不高兴 😐 😒
不高兴的脸	不高兴的脸 😒
丑陋	丑陋 🦢
专家	专家 🤓
专注	专注 😣
世界	世界 🌍 🌎 🌏 🌐 🗺
世界各地	世界各地 🌐
世界地图	世界地图 🗺
丘比特	丘比特 💘 🪉
东	东 ➡
东京	东京 🗼
东京塔	东京塔 🗼
东北	东北 ↗
东南	东南 ↘
