!	! ‼ ⁉ ❕ ❗
!!	!! ‼
#	# #️⃣
%	% 🔣
&	& 🔣
+	+ ➕
+1	+1 👍
-	- ➖
-1	-1 👎
0	0 🕖 🕙 0️⃣
1	1 👁 🕐 🕜 1️⃣
10	10 🕙 🕥 🔟
100	100 💯 💶
10:00	10:00 🕙
10:30	10:30 🕥
11	11 🕚 🕦
11:00	11:00 🕚
11:30	11:30 🕦
12	12 🕛 🕧
1234	1234 🔢
12:00	12:00 🕛
12:30	12:30 🕧
143	143 😍 😗 😚 😙 😒 💘 💝 💖 💗 💓 💞 💕 💟 🩷 🧡 💛 💚 💙 🩵 💜 🤎 🩶 🤍
18	18 🔞
1:00	1:00 🕐
1:30	1:30 🕜
1st	1st 🥇
2	2 🕑 🕝 2️⃣
24	24 🏪
2:00	2:00 🕑
2:30	2:30 🕝
2nd	2nd 🥈
3	3 🥰 🕒 🕞 3️⃣
30	30 🕧 🕜 🕝 🕞 🕟 🕠 🕡 🕢 🕣 🕤 🕥 🕦
3:00	3:00 🕒
3:30	3:30 🕞
3rd	3rd 🥉
4	4 🍀 🕓 🕟 4️⃣
4:00	4:00 🕓
4:30	4:30 🕟
5	5 ✋ 🕔 🕠 5️⃣
5:00	5:00 🕔
5:30	5:30 🕠
5–0	5–0 🚓
6	6 🕕 🕡 6️⃣
6:00	6:00 🕕
6:30	6:30 🕡
7	7 🕖 🕢 7️⃣
7:00	7:00 🕖
7:30	7:30 🕢
8	8 🕗 🕣 🎱 8️⃣
8:00	8:00 🕗
8:30	8:30 🕣
8ball	8ball 🎱
9	9 🕘 🕤 9️⃣
9:00	9:00 🕘
9:30	9:30 🕤
<3	<3 🫰 🫶
a+	a+ 💯
ab	ab 🆎
abacus	abacus 🧮
abc	abc 🔤
abcd	abcd 🔠 🔡
absentminded	absentminded 😶‍🌫️
absolutely	absolutely 👊
absorbing	absorbing 🧽
acceptable	acceptable 🉑
access	access ♿
accessibility	accessibility 🦾 🦿 🦻 🧏 🧏‍♂️ 🧏‍♀️ 🧑‍🦯 🧑‍🦯‍➡️ 👨‍🦯 👨‍🦯‍➡️ 👩‍🦯 👩‍🦯‍➡️ 🧑‍🦼 🧑‍🦼‍➡️ 👨‍🦼 👨‍🦼‍➡️ 👩‍🦼 👩‍🦼‍➡️ 🧑‍🦽 🧑‍🦽‍➡️ 👨‍🦽 👨‍🦽‍➡️ 👩‍🦽 👩‍🦽‍➡️ 🦮 🐕‍🦺 🛗
accident	accident 🫗
accordion	accordion 🪗
accounting	accounting 🧾
acidity	acidity 🍋‍🟩
act	act 🤹 🤹‍♂️ 🤹‍♀️
action	action 🎬
active	active 🤸 🤸‍♂️ 🤸‍♀️
actor	actor 🧑‍🎤 👨‍🎤 👩‍🎤 🎭
actress	actress 🎭
address	address 📢
adhesive	adhesive 🩹
admiration	admiration 🥹
admission	admission 🎟 🎫
adorable	adorable 🩷
adorbs	adorbs 😘 💘 💞 🐶
adore	adore 🥰
